EmployeeID,TargetRoleONET,CurrentSkill
1,53-3031.00,Critical Thinking
1,53-3031.00,Reading Comprehension
1,53-3031.00,Active Listening
1,53-3031.00,Speaking
1,53-3031.00,Microsoft Excel
2,15-1221.00,Apache Spark
2,15-1221.00,Docker
2,15-1221.00,C++
2,15-1221.00,Ansible software
2,15-1221.00,GitHub
2,15-1221.00,Reading Comprehension
2,15-1221.00,Git
2,15-1221.00,Science
2,15-1221.00,Monitoring
2,15-1221.00,Apache Kafka
2,15-1221.00,Mathematics
2,15-1221.00,Writing
2,15-1221.00,C
2,15-1221.00,Go
2,15-1221.00,Speaking
2,15-1221.00,Active Listening
2,15-1221.00,Apache Hadoop
4,51-9083.00,Microsoft PowerPoint
4,51-9083.00,Microsoft Excel
4,51-9083.00,Microsoft Word
4,51-9083.00,Microsoft Office software
4,51-9083.00,SAP software
4,51-9083.00,Critical Thinking
4,51-9083.00,Monitoring
5,15-1221.00,GitHub
5,15-1221.00,Ansible software
5,15-1221.00,Critical Thinking
5,15-1221.00,C
5,15-1221.00,Learning Strategies
5,15-1221.00,Apache Spark
5,15-1221.00,Active Learning
5,15-1221.00,Writing
5,15-1221.00,Amazon Web Services AWS software
5,15-1221.00,Reading Comprehension
5,15-1221.00,Apache Hadoop
5,15-1221.00,Monitoring
5,15-1221.00,Mathematics
5,15-1221.00,Active Listening
5,15-1221.00,Apache Kafka
5,15-1221.00,C++
5,15-1221.00,Speaking
5,15-1221.00,Science
7,51-9083.00,Microsoft Outlook
7,51-9083.00,Microsoft Office software
7,51-9083.00,Critical Thinking
7,51-9083.00,Microsoft Word
7,51-9083.00,Reading Comprehension
8,51-9083.00,Microsoft Outlook
8,51-9083.00,Reading Comprehension
8,51-9083.00,Critical Thinking
8,51-9083.00,Microsoft PowerPoint
8,51-9083.00,Microsoft Office software
8,51-9083.00,Monitoring
8,51-9083.00,Microsoft Excel
10,51-9083.00,Microsoft Word
10,51-9083.00,Microsoft Excel
10,51-9083.00,SAP software
10,51-9083.00,Microsoft Office software
10,51-9083.00,Microsoft Outlook
10,51-9083.00,Reading Comprehension
11,51-9083.00,Microsoft Office software
11,51-9083.00,Microsoft PowerPoint
11,51-9083.00,Critical Thinking
11,51-9083.00,Microsoft Excel
11,51-9083.00,Reading Comprehension
11,51-9083.00,SAP software
12,51-9195.05,Microsoft Outlook
12,51-9195.05,Monitoring
12,51-9195.05,Active Listening
13,43-4051.00,Reading Comprehension
13,43-4051.00,Speaking
13,43-4051.00,Intuit QuickBooks
13,43-4051.00,Kronos Workforce Timekeeper
13,43-4051.00,Writing
13,43-4051.00,Critical Thinking
13,43-4051.00,Adobe Creative Cloud software
13,43-4051.00,Microsoft Outlook
13,43-4051.00,Adobe Photoshop
13,43-4051.00,Monitoring
13,43-4051.00,Adobe Illustrator
13,43-4051.00,Adobe Acrobat
13,43-4051.00,Apple macOS
13,43-4051.00,Active Listening
14,51-9083.00,SAP software
14,51-9083.00,Microsoft Office software
14,51-9083.00,Critical Thinking
14,51-9083.00,Microsoft Word
14,51-9083.00,Microsoft Outlook
15,51-9083.00,Microsoft PowerPoint
15,51-9083.00,Reading Comprehension
15,51-9083.00,Monitoring
15,51-9083.00,Microsoft Excel
15,51-9083.00,Microsoft Word
15,51-9083.00,Microsoft Office software
15,51-9083.00,Critical Thinking
15,51-9083.00,SAP software
16,15-1221.00,Speaking
16,15-1221.00,Apache Kafka
16,15-1221.00,C
16,15-1221.00,Go
16,15-1221.00,Apache Hadoop
16,15-1221.00,Writing
16,15-1221.00,Monitoring
16,15-1221.00,Active Learning
16,15-1221.00,Critical Thinking
16,15-1221.00,Apache Spark
16,15-1221.00,Reading Comprehension
16,15-1221.00,Ansible software
18,51-9083.00,Reading Comprehension
18,51-9083.00,Microsoft PowerPoint
18,51-9083.00,Microsoft Word
18,51-9083.00,Monitoring
18,51-9083.00,Microsoft Office software
18,51-9083.00,Microsoft Excel
19,51-9083.00,Reading Comprehension
19,51-9083.00,Critical Thinking
19,51-9083.00,Microsoft Excel
19,51-9083.00,Microsoft Word
19,51-9083.00,Microsoft Office software
20,51-9195.05,Monitoring
20,51-9195.05,Microsoft Outlook
20,51-9195.05,Active Listening
21,15-1221.00,Apache Spark
21,15-1221.00,Git
21,15-1221.00,Apache Kafka
21,15-1221.00,Writing
21,15-1221.00,Speaking
21,15-1221.00,Reading Comprehension
21,15-1221.00,Amazon Web Services AWS software
21,15-1221.00,Monitoring
21,15-1221.00,C
21,15-1221.00,Docker
22,51-9083.00,Microsoft Word
22,51-9083.00,Microsoft PowerPoint
22,51-9083.00,SAP software
22,51-9083.00,Critical Thinking
22,51-9083.00,Microsoft Excel
23,47-1011.03,Microsoft Outlook
23,47-1011.03,Critical Thinking
23,47-1011.03,Mathematics
23,47-1011.03,Monitoring
23,47-1011.03,Autodesk Revit
23,47-1011.03,Microsoft PowerPoint
23,47-1011.03,Autodesk AutoCAD Civil 3D
23,47-1011.03,Microsoft Excel
23,47-1011.03,Learning Strategies
23,47-1011.03,Oracle Primavera Enterprise Project Portfolio Management
23,47-1011.03,Active Listening
23,47-1011.03,Microsoft Project
23,47-1011.03,Active Learning
23,47-1011.03,Microsoft Visio
23,47-1011.03,Microsoft Office software
23,47-1011.03,Speaking
23,47-1011.03,Reading Comprehension
24,15-1221.00,Active Listening
24,15-1221.00,Amazon Web Services AWS software
24,15-1221.00,Apache Kafka
24,15-1221.00,Ansible software
24,15-1221.00,Git
24,15-1221.00,Apache Hadoop
24,15-1221.00,Reading Comprehension
24,15-1221.00,Writing
24,15-1221.00,Learning Strategies
24,15-1221.00,Science
24,15-1221.00,Go
24,15-1221.00,Apache Spark
24,15-1221.00,Mathematics
24,15-1221.00,Docker
24,15-1221.00,Active Learning
24,15-1221.00,Bash
24,15-1221.00,Critical Thinking
24,15-1221.00,GitHub
26,51-9195.05,Microsoft Excel
26,51-9195.05,Monitoring
27,41-4012.00,Writing
27,41-4012.00,Active Learning
27,41-4012.00,Microsoft Outlook
27,41-4012.00,Microsoft Office software
27,41-4012.00,Microsoft PowerPoint
27,41-4012.00,Speaking
27,41-4012.00,Reading Comprehension
27,41-4012.00,Salesforce software
27,41-4012.00,Adobe Photoshop
27,41-4012.00,Adobe Illustrator
27,41-4012.00,Autodesk AutoCAD
27,41-4012.00,Adobe Acrobat
27,41-4012.00,Adobe InDesign
27,41-4012.00,Apple macOS
27,41-4012.00,Microsoft Excel
27,41-4012.00,Active Listening
28,27-2041.00,Active Learning
28,27-2041.00,Critical Thinking
28,27-2041.00,Active Listening
28,27-2041.00,Writing
28,27-2041.00,Microsoft Excel
28,27-2041.00,Microsoft Word
28,27-2041.00,Monitoring
30,15-1221.00,Active Learning
30,15-1221.00,Docker
30,15-1221.00,Ansible software
30,15-1221.00,Speaking
30,15-1221.00,Monitoring
30,15-1221.00,C++
30,15-1221.00,Apache Kafka
30,15-1221.00,Writing
30,15-1221.00,Amazon Web Services AWS software
30,15-1221.00,Bash
30,15-1221.00,Go
30,15-1221.00,Learning Strategies
30,15-1221.00,Apache Hadoop
30,15-1221.00,Mathematics
30,15-1221.00,Reading Comprehension
30,15-1221.00,C
31,15-1221.00,Science
31,15-1221.00,Mathematics
31,15-1221.00,Active Learning
31,15-1221.00,Writing
31,15-1221.00,Git
31,15-1221.00,Apache Spark
31,15-1221.00,Learning Strategies
31,15-1221.00,C
31,15-1221.00,C++
31,15-1221.00,Critical Thinking
31,15-1221.00,Amazon Web Services AWS software
32,47-1011.03,Oracle Primavera Enterprise Project Portfolio Management
32,47-1011.03,Active Learning
32,47-1011.03,Microsoft Project
32,47-1011.03,Microsoft Outlook
32,47-1011.03,Autodesk AutoCAD
32,47-1011.03,Microsoft Office software
32,47-1011.03,Learning Strategies
32,47-1011.03,Writing
32,47-1011.03,Autodesk Revit
32,47-1011.03,Autodesk AutoCAD Civil 3D
32,47-1011.03,Critical Thinking
33,15-1221.00,Go
33,15-1221.00,Git
33,15-1221.00,C
33,15-1221.00,Amazon Web Services AWS software
33,15-1221.00,Mathematics
33,15-1221.00,Apache Kafka
33,15-1221.00,Docker
33,15-1221.00,Apache Hadoop
33,15-1221.00,Reading Comprehension
33,15-1221.00,Science
33,15-1221.00,Ansible software
33,15-1221.00,Apache Spark
35,53-3031.00,Microsoft Excel
35,53-3031.00,Reading Comprehension
35,53-3031.00,Critical Thinking
35,53-3031.00,Active Listening
36,43-4051.00,Critical Thinking
36,43-4051.00,Adobe Photoshop
36,43-4051.00,Adobe Acrobat
36,43-4051.00,Active Listening
36,43-4051.00,Adobe Illustrator
36,43-4051.00,Microsoft Excel
36,43-4051.00,Adobe Creative Cloud software
36,43-4051.00,Microsoft Outlook
38,47-1011.03,Learning Strategies
38,47-1011.03,Microsoft PowerPoint
38,47-1011.03,Reading Comprehension
38,47-1011.03,Oracle Primavera Enterprise Project Portfolio Management
38,47-1011.03,Active Listening
38,47-1011.03,Microsoft Office software
38,47-1011.03,Monitoring
38,47-1011.03,Autodesk Revit
38,47-1011.03,Mathematics
38,47-1011.03,Critical Thinking
38,47-1011.03,Microsoft Project
38,47-1011.03,Microsoft Outlook
38,47-1011.03,Microsoft Windows
38,47-1011.03,Speaking
38,47-1011.03,Writing
38,47-1011.03,Microsoft Excel
38,47-1011.03,Microsoft Word
39,51-9083.00,Microsoft Word
39,51-9083.00,SAP software
39,51-9083.00,Microsoft Office software
39,51-9083.00,Monitoring
39,51-9083.00,Microsoft Excel
39,51-9083.00,Microsoft Outlook
39,51-9083.00,Reading Comprehension
39,51-9083.00,Microsoft PowerPoint
40,43-4051.00,Adobe Creative Cloud software
40,43-4051.00,Microsoft Excel
40,43-4051.00,Intuit QuickBooks
40,43-4051.00,Active Listening
40,43-4051.00,Critical Thinking
40,43-4051.00,Apple macOS
40,43-4051.00,Reading Comprehension
40,43-4051.00,Microsoft Outlook
40,43-4051.00,Adobe Photoshop
40,43-4051.00,Adobe Illustrator
40,43-4051.00,Microsoft Office software
41,51-9083.00,Reading Comprehension
41,51-9083.00,Microsoft Office software
41,51-9083.00,Monitoring
41,51-9083.00,Critical Thinking
41,51-9083.00,Microsoft Word
42,41-4012.00,Salesforce software
42,41-4012.00,Critical Thinking
42,41-4012.00,Apple macOS
42,41-4012.00,Monitoring
42,41-4012.00,Microsoft PowerPoint
42,41-4012.00,Adobe Acrobat
42,41-4012.00,Microsoft Outlook
42,41-4012.00,Active Learning
42,41-4012.00,Writing
42,41-4012.00,Adobe Illustrator
42,41-4012.00,Adobe Creative Cloud software
45,15-1221.00,Reading Comprehension
45,15-1221.00,Critical Thinking
45,15-1221.00,Learning Strategies
45,15-1221.00,Science
45,15-1221.00,Monitoring
45,15-1221.00,Speaking
45,15-1221.00,Active Learning
45,15-1221.00,Writing
45,15-1221.00,C++
45,15-1221.00,Apache Spark
45,15-1221.00,Git
45,15-1221.00,C
45,15-1221.00,Bash
45,15-1221.00,GitHub
45,15-1221.00,Apache Kafka
45,15-1221.00,Ansible software
45,15-1221.00,Mathematics
46,15-1221.00,C++
46,15-1221.00,Amazon Web Services AWS software
46,15-1221.00,Apache Kafka
46,15-1221.00,Learning Strategies
46,15-1221.00,Monitoring
46,15-1221.00,Bash
46,15-1221.00,Reading Comprehension
46,15-1221.00,Active Learning
46,15-1221.00,Science
46,15-1221.00,Apache Hadoop
46,15-1221.00,C
47,41-4012.00,Microsoft Excel
47,41-4012.00,Speaking
47,41-4012.00,Critical Thinking
47,41-4012.00,Microsoft Outlook
47,41-4012.00,Adobe Creative Cloud software
47,41-4012.00,Microsoft PowerPoint
47,41-4012.00,Monitoring
47,41-4012.00,Adobe InDesign
47,41-4012.00,Adobe Photoshop
49,41-4012.00,Reading Comprehension
49,41-4012.00,Critical Thinking
49,41-4012.00,Adobe Illustrator
49,41-4012.00,Speaking
49,41-4012.00,Adobe Acrobat
49,41-4012.00,Microsoft Outlook
49,41-4012.00,Microsoft Office software
49,41-4012.00,Adobe Creative Cloud software
49,41-4012.00,Active Learning
49,41-4012.00,Salesforce software
49,41-4012.00,Adobe InDesign
51,15-1221.00,Docker
51,15-1221.00,C++
51,15-1221.00,Ansible software
51,15-1221.00,Bash
51,15-1221.00,Monitoring
51,15-1221.00,C
51,15-1221.00,Mathematics
51,15-1221.00,Active Learning
51,15-1221.00,Writing
51,15-1221.00,Reading Comprehension
51,15-1221.00,Apache Hadoop
51,15-1221.00,Amazon Web Services AWS software
51,15-1221.00,Apache Spark
51,15-1221.00,Critical Thinking
52,53-3031.00,Speaking
52,53-3031.00,Critical Thinking
52,53-3031.00,Active Listening
52,53-3031.00,Writing
53,51-9083.00,Microsoft Office software
53,51-9083.00,SAP software
53,51-9083.00,Microsoft Outlook
53,51-9083.00,Critical Thinking
53,51-9083.00,Microsoft Word
53,51-9083.00,Microsoft PowerPoint
53,51-9083.00,Reading Comprehension
54,51-9083.00,Reading Comprehension
54,51-9083.00,Microsoft Outlook
54,51-9083.00,Microsoft Office software
54,51-9083.00,Microsoft Excel
54,51-9083.00,Microsoft Word
54,51-9083.00,Microsoft PowerPoint
55,51-9083.00,Microsoft Office software
55,51-9083.00,Microsoft PowerPoint
55,51-9083.00,Critical Thinking
55,51-9083.00,Microsoft Outlook
55,51-9083.00,Reading Comprehension
56,53-3031.00,Active Listening
56,53-3031.00,Microsoft Excel
56,53-3031.00,Microsoft Office software
57,51-9083.00,Microsoft Outlook
57,51-9083.00,Reading Comprehension
57,51-9083.00,Critical Thinking
57,51-9083.00,Monitoring
57,51-9083.00,Microsoft PowerPoint
57,51-9083.00,SAP software
57,51-9083.00,Microsoft Word
58,27-2041.00,Monitoring
58,27-2041.00,Reading Comprehension
58,27-2041.00,Active Learning
58,27-2041.00,Microsoft Office software
58,27-2041.00,Active Listening
58,27-2041.00,Microsoft Word
58,27-2041.00,Speaking
58,27-2041.00,Microsoft Excel
58,27-2041.00,Critical Thinking
58,27-2041.00,Learning Strategies
60,53-3031.00,Active Listening
60,53-3031.00,Speaking
60,53-3031.00,Writing
60,53-3031.00,Microsoft Excel
61,15-1221.00,Science
61,15-1221.00,Git
61,15-1221.00,C
61,15-1221.00,Apache Spark
61,15-1221.00,Docker
61,15-1221.00,Go
61,15-1221.00,Critical Thinking
61,15-1221.00,Monitoring
61,15-1221.00,Bash
61,15-1221.00,Active Learning
62,53-3031.00,Reading Comprehension
62,53-3031.00,Critical Thinking
62,53-3031.00,Writing
62,53-3031.00,Microsoft Office software
62,53-3031.00,Active Listening
63,51-9083.00,Microsoft PowerPoint
63,51-9083.00,Microsoft Office software
63,51-9083.00,Monitoring
63,51-9083.00,Microsoft Outlook
63,51-9083.00,Critical Thinking
63,51-9083.00,Microsoft Excel
64,51-9083.00,Reading Comprehension
64,51-9083.00,Microsoft Word
64,51-9083.00,Microsoft PowerPoint
64,51-9083.00,Microsoft Excel
64,51-9083.00,Monitoring
64,51-9083.00,Critical Thinking
65,51-9083.00,Microsoft PowerPoint
65,51-9083.00,Monitoring
65,51-9083.00,SAP software
65,51-9083.00,Critical Thinking
65,51-9083.00,Microsoft Word
65,51-9083.00,Microsoft Excel
68,53-3031.00,Speaking
68,53-3031.00,Reading Comprehension
68,53-3031.00,Critical Thinking
68,53-3031.00,Active Listening
70,43-4051.00,Speaking
70,43-4051.00,Writing
70,43-4051.00,Microsoft Office software
70,43-4051.00,Facebook
70,43-4051.00,Monitoring
70,43-4051.00,Microsoft Outlook
70,43-4051.00,Apple macOS
70,43-4051.00,Intuit QuickBooks
70,43-4051.00,Critical Thinking
70,43-4051.00,Microsoft Excel
70,43-4051.00,Adobe Acrobat
70,43-4051.00,Google Docs
72,53-3031.00,Microsoft Excel
72,53-3031.00,Speaking
72,53-3031.00,Reading Comprehension
72,53-3031.00,Microsoft Office software
72,53-3031.00,Active Listening
73,27-2041.00,Reading Comprehension
73,27-2041.00,Active Listening
73,27-2041.00,Learning Strategies
73,27-2041.00,Monitoring
73,27-2041.00,Microsoft Outlook
73,27-2041.00,Critical Thinking
73,27-2041.00,Writing
74,53-3031.00,Speaking
74,53-3031.00,Microsoft Office software
74,53-3031.00,Critical Thinking
74,53-3031.00,Microsoft Excel
75,51-9083.00,Microsoft PowerPoint
75,51-9083.00,Microsoft Office software
75,51-9083.00,Microsoft Excel
75,51-9083.00,SAP software
76,51-9083.00,SAP software
76,51-9083.00,Critical Thinking
76,51-9083.00,Reading Comprehension
76,51-9083.00,Microsoft Office software
76,51-9083.00,Microsoft Excel
77,51-9195.05,Microsoft Outlook
77,51-9195.05,Monitoring
77,51-9195.05,Active Listening
77,51-9195.05,Microsoft Excel
78,51-9195.05,Active Listening
78,51-9195.05,Microsoft Excel
78,51-9195.05,Monitoring
79,51-9083.00,Reading Comprehension
79,51-9083.00,Monitoring
79,51-9083.00,Microsoft Outlook
79,51-9083.00,Microsoft Office software
79,51-9083.00,Critical Thinking
79,51-9083.00,Microsoft Excel
80,27-2041.00,Reading Comprehension
80,27-2041.00,Learning Strategies
80,27-2041.00,Microsoft Outlook
80,27-2041.00,Critical Thinking
80,27-2041.00,Microsoft Excel
80,27-2041.00,Writing
80,27-2041.00,Active Listening
80,27-2041.00,Monitoring
80,27-2041.00,Microsoft Office software
80,27-2041.00,Microsoft PowerPoint
81,53-3031.00,Speaking
81,53-3031.00,Writing
81,53-3031.00,Reading Comprehension
81,53-3031.00,Microsoft Office software
81,53-3031.00,Active Listening
81,53-3031.00,Critical Thinking
83,43-4051.00,Microsoft Excel
83,43-4051.00,Microsoft Outlook
83,43-4051.00,Microsoft Office software
83,43-4051.00,Adobe Acrobat
83,43-4051.00,Kronos Workforce Timekeeper
83,43-4051.00,Adobe Creative Cloud software
83,43-4051.00,Critical Thinking
83,43-4051.00,Adobe Illustrator
83,43-4051.00,Active Listening
83,43-4051.00,Adobe Photoshop
83,43-4051.00,Facebook
83,43-4051.00,Google Docs
84,47-1011.03,Microsoft Office software
84,47-1011.03,Microsoft Visio
84,47-1011.03,Critical Thinking
84,47-1011.03,Autodesk AutoCAD Civil 3D
84,47-1011.03,Microsoft PowerPoint
84,47-1011.03,Mathematics
84,47-1011.03,Microsoft Word
84,47-1011.03,Active Learning
84,47-1011.03,Learning Strategies
84,47-1011.03,Active Listening
84,47-1011.03,Writing
84,47-1011.03,Microsoft Excel
84,47-1011.03,Microsoft Outlook
84,47-1011.03,Autodesk Revit
85,51-9195.05,Active Listening
85,51-9195.05,Microsoft Outlook
85,51-9195.05,Critical Thinking
86,15-1221.00,Active Listening
86,15-1221.00,C++
86,15-1221.00,Active Learning
86,15-1221.00,Monitoring
86,15-1221.00,C
86,15-1221.00,Speaking
86,15-1221.00,Mathematics
86,15-1221.00,Writing
86,15-1221.00,Critical Thinking
86,15-1221.00,Git
86,15-1221.00,Reading Comprehension
86,15-1221.00,Science
86,15-1221.00,Apache Hadoop
86,15-1221.00,Apache Spark
86,15-1221.00,GitHub
86,15-1221.00,Ansible software
86,15-1221.00,Docker
86,15-1221.00,Bash
88,15-1221.00,Learning Strategies
88,15-1221.00,C
88,15-1221.00,Docker
88,15-1221.00,Reading Comprehension
88,15-1221.00,Amazon Web Services AWS software
88,15-1221.00,Bash
88,15-1221.00,C++
88,15-1221.00,Apache Kafka
88,15-1221.00,Apache Hadoop
88,15-1221.00,GitHub
88,15-1221.00,Apache Spark
88,15-1221.00,Science
88,15-1221.00,Critical Thinking
88,15-1221.00,Writing
88,15-1221.00,Monitoring
88,15-1221.00,Mathematics
90,15-1221.00,Bash
90,15-1221.00,Critical Thinking
90,15-1221.00,Active Learning
90,15-1221.00,Amazon Web Services AWS software
90,15-1221.00,Apache Kafka
90,15-1221.00,Git
90,15-1221.00,Apache Spark
90,15-1221.00,Active Listening
90,15-1221.00,Monitoring
90,15-1221.00,GitHub
90,15-1221.00,C++
90,15-1221.00,Reading Comprehension
90,15-1221.00,Writing
90,15-1221.00,Learning Strategies
91,53-3031.00,Reading Comprehension
91,53-3031.00,Writing
91,53-3031.00,Microsoft Excel
91,53-3031.00,Speaking
91,53-3031.00,Critical Thinking
91,53-3031.00,Active Listening
94,15-1221.00,C
94,15-1221.00,Ansible software
94,15-1221.00,Bash
94,15-1221.00,Active Listening
94,15-1221.00,Monitoring
94,15-1221.00,Active Learning
94,15-1221.00,Apache Kafka
94,15-1221.00,Go
94,15-1221.00,Science
94,15-1221.00,Learning Strategies
95,15-1221.00,Apache Kafka
95,15-1221.00,Mathematics
95,15-1221.00,Apache Spark
95,15-1221.00,Amazon Web Services AWS software
95,15-1221.00,Monitoring
95,15-1221.00,GitHub
95,15-1221.00,Writing
95,15-1221.00,Active Listening
95,15-1221.00,Bash
95,15-1221.00,C
95,15-1221.00,Learning Strategies
95,15-1221.00,Docker
95,15-1221.00,Git
95,15-1221.00,Critical Thinking
95,15-1221.00,Science
95,15-1221.00,Reading Comprehension
95,15-1221.00,Apache Hadoop
96,15-1221.00,Monitoring
96,15-1221.00,Active Learning
96,15-1221.00,Docker
96,15-1221.00,Reading Comprehension
96,15-1221.00,Ansible software
96,15-1221.00,Active Listening
96,15-1221.00,Git
96,15-1221.00,Critical Thinking
96,15-1221.00,Apache Spark
96,15-1221.00,Speaking
96,15-1221.00,C++
96,15-1221.00,Mathematics
96,15-1221.00,Amazon Web Services AWS software
96,15-1221.00,Writing
96,15-1221.00,Bash
97,51-9083.00,Microsoft Word
97,51-9083.00,Microsoft Excel
97,51-9083.00,Monitoring
97,51-9083.00,SAP software
97,51-9083.00,Critical Thinking
97,51-9083.00,Microsoft PowerPoint
98,51-9195.05,Critical Thinking
98,51-9195.05,Microsoft Excel
98,51-9195.05,Active Listening
98,51-9195.05,Monitoring
100,53-3031.00,Microsoft Office software
100,53-3031.00,Speaking
100,53-3031.00,Microsoft Excel
100,53-3031.00,Writing
101,27-2041.00,Critical Thinking
101,27-2041.00,Microsoft Office software
101,27-2041.00,Active Learning
101,27-2041.00,Reading Comprehension
101,27-2041.00,Writing
101,27-2041.00,Microsoft Outlook
101,27-2041.00,Learning Strategies
101,27-2041.00,Microsoft PowerPoint
101,27-2041.00,Microsoft Word
102,27-2041.00,Microsoft PowerPoint
102,27-2041.00,Active Listening
102,27-2041.00,Writing
102,27-2041.00,Reading Comprehension
102,27-2041.00,Microsoft Excel
102,27-2041.00,Critical Thinking
102,27-2041.00,Monitoring
102,27-2041.00,Microsoft Word
102,27-2041.00,Speaking
102,27-2041.00,Learning Strategies
103,43-4161.00,Microsoft Outlook
103,43-4161.00,Microsoft Office software
103,43-4161.00,Reading Comprehension
103,43-4161.00,Microsoft Access
103,43-4161.00,Google Docs
103,43-4161.00,Microsoft Excel
103,43-4161.00,Active Listening
103,43-4161.00,Writing
103,43-4161.00,Critical Thinking
104,51-9083.00,Microsoft Office software
104,51-9083.00,Microsoft Excel
104,51-9083.00,Microsoft Outlook
104,51-9083.00,Critical Thinking
105,15-1221.00,Active Learning
105,15-1221.00,Critical Thinking
105,15-1221.00,C++
105,15-1221.00,C
105,15-1221.00,Git
105,15-1221.00,Reading Comprehension
105,15-1221.00,Ansible software
105,15-1221.00,Science
105,15-1221.00,Go
105,15-1221.00,Mathematics
105,15-1221.00,Apache Spark
105,15-1221.00,Amazon Web Services AWS software
105,15-1221.00,Writing
105,15-1221.00,Apache Hadoop
106,53-3031.00,Writing
106,53-3031.00,Speaking
106,53-3031.00,Reading Comprehension
106,53-3031.00,Critical Thinking
107,15-1221.00,Monitoring
107,15-1221.00,Apache Kafka
107,15-1221.00,Apache Spark
107,15-1221.00,Critical Thinking
107,15-1221.00,C
107,15-1221.00,Mathematics
107,15-1221.00,Active Learning
107,15-1221.00,Git
107,15-1221.00,Apache Hadoop
107,15-1221.00,Speaking
110,51-9195.05,Microsoft Excel
110,51-9195.05,Monitoring
112,51-9195.05,Critical Thinking
112,51-9195.05,Microsoft Excel
112,51-9195.05,Monitoring
113,41-4012.00,Critical Thinking
113,41-4012.00,Microsoft Office software
113,41-4012.00,Reading Comprehension
113,41-4012.00,Autodesk AutoCAD
113,41-4012.00,Adobe Illustrator
113,41-4012.00,Adobe InDesign
113,41-4012.00,Microsoft PowerPoint
113,41-4012.00,Monitoring
113,41-4012.00,Adobe Creative Cloud software
116,51-9083.00,Microsoft Excel
116,51-9083.00,Microsoft PowerPoint
116,51-9083.00,Microsoft Outlook
116,51-9083.00,SAP software
116,51-9083.00,Reading Comprehension
116,51-9083.00,Microsoft Office software
116,51-9083.00,Critical Thinking
116,51-9083.00,Monitoring
117,43-4051.00,Writing
117,43-4051.00,Adobe Acrobat
117,43-4051.00,Microsoft Office software
117,43-4051.00,Google Docs
117,43-4051.00,Adobe Illustrator
117,43-4051.00,Active Listening
117,43-4051.00,Adobe Photoshop
117,43-4051.00,Intuit QuickBooks
117,43-4051.00,Critical Thinking
117,43-4051.00,Monitoring
118,53-3031.00,Active Listening
118,53-3031.00,Speaking
118,53-3031.00,Critical Thinking
118,53-3031.00,Writing
118,53-3031.00,Microsoft Excel
119,43-4051.00,Critical Thinking
119,43-4051.00,Microsoft Office software
119,43-4051.00,Adobe Creative Cloud software
119,43-4051.00,Adobe Illustrator
119,43-4051.00,Kronos Workforce Timekeeper
119,43-4051.00,Microsoft Excel
119,43-4051.00,Microsoft Outlook
119,43-4051.00,Adobe Acrobat
119,43-4051.00,Apple macOS
119,43-4051.00,Active Listening
119,43-4051.00,Google Docs
119,43-4051.00,Adobe Photoshop
120,53-3031.00,Reading Comprehension
120,53-3031.00,Speaking
120,53-3031.00,Active Listening
120,53-3031.00,Critical Thinking
120,53-3031.00,Writing
121,53-3031.00,Microsoft Excel
121,53-3031.00,Active Listening
121,53-3031.00,Microsoft Office software
121,53-3031.00,Writing
121,53-3031.00,Reading Comprehension
124,43-4051.00,Facebook
