Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Risk_Score,Risk_Category,Overall_Satisfaction,Income_Per_Company_Year,Engagement_Index,Automated_HR_Action,Target_ONET_Code,Current_Skills,Skill_Gap,Skill_Match_Pct,Recommendation
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,0.8886695,High Risk,2.3333333333333335,856.1428571428571,2.3333333333333335,HIGH RISK: HR review; retention conversation; career-path and compensation review.,53-3031.00,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Microsoft Excel","Writing, Microsoft Office software",71.43,Start: Writing
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,0.06598877,Low Risk,3.0,466.3636363636364,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,15-1221.00,"Apache Spark, Docker, C++, Ansible software, GitHub, Reading Comprehension, Git, Science, Monitoring, Apache Kafka, Mathematics, Writing, C, Go, Speaking, Active Listening, Apache Hadoop","Active Learning, Critical Thinking, Learning Strategies, Amazon Web Services AWS software, Bash",77.27,Start: Active Learning
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,0.59551066,Medium Risk,3.0,2090.0,3.3333333333333335,MEDIUM RISK: Manager check-in; mentorship; targeted development plan.,51-9083.00,"Microsoft PowerPoint, Microsoft Excel, Microsoft Word, Microsoft Office software, SAP software, Critical Thinking, Monitoring","Reading Comprehension, Microsoft Outlook",77.78,Start: Reading Comprehension
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,0.5689308,Medium Risk,3.3333333333333335,323.22222222222223,3.3333333333333335,MEDIUM RISK: Manager check-in; mentorship; targeted development plan.,15-1221.00,"GitHub, Ansible software, Critical Thinking, C, Learning Strategies, Apache Spark, Active Learning, Writing, Amazon Web Services AWS software, Reading Comprehension, Apache Hadoop, Monitoring, Mathematics, Active Listening, Apache Kafka, C++, Speaking, Science","Bash, Docker, Git, Go",81.82,Start: Bash
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,0.4362848,Medium Risk,2.3333333333333335,1156.0,2.0,MEDIUM RISK: Manager check-in; mentorship; targeted development plan.,51-9083.00,"Microsoft Outlook, Microsoft Office software, Critical Thinking, Microsoft Word, Reading Comprehension","Monitoring, Microsoft Excel, Microsoft PowerPoint, SAP software",55.56,Start: Monitoring
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,0.04851338,Low Risk,3.6666666666666665,383.5,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Microsoft Outlook, Reading Comprehension, Critical Thinking, Microsoft PowerPoint, Microsoft Office software, Monitoring, Microsoft Excel","Microsoft Word, SAP software",77.78,Start: Microsoft Word
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,0.2492939,Low Risk,1.6666666666666667,1335.0,2.0,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Microsoft Word, Microsoft Excel, SAP software, Microsoft Office software, Microsoft Outlook, Reading Comprehension","Critical Thinking, Monitoring, Microsoft PowerPoint",66.67,Start: Critical Thinking
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,0.37564373,Low Risk,3.0,1346.5,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9083.00,"Microsoft Office software, Microsoft PowerPoint, Critical Thinking, Microsoft Excel, Reading Comprehension, SAP software","Monitoring, Microsoft Outlook, Microsoft Word",66.67,Start: Monitoring
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,0.12273176,Low Risk,3.0,952.6,3.3333333333333335,LOW RISK: Continue standard career development and engagement tracking.,51-9195.05,"Microsoft Outlook, Monitoring, Active Listening","Critical Thinking, Microsoft Excel",60.0,Start: Critical Thinking
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,0.05047854,Low Risk,2.6666666666666665,654.625,2.6666666666666665,LOW RISK: Continue standard career development and engagement tracking.,43-4051.00,"Reading Comprehension, Speaking, Intuit QuickBooks, Kronos Workforce Timekeeper, Writing, Critical Thinking, Adobe Creative Cloud software, Microsoft Outlook, Adobe Photoshop, Monitoring, Adobe Illustrator, Adobe Acrobat, Apple macOS, Active Listening","Microsoft Excel, Microsoft Office software, Facebook, Google Docs",77.78,Start: Microsoft Excel
